cenario,modelo,classe,metric,value
conservador,RandomForest,0,precision,0.9260823653643083
conservador,RandomForest,0,recall,0.78584229390681
conservador,RandomForest,0,f1-score,0.8502181289384392
conservador,RandomForest,1,precision,0.5386100386100386
conservador,RandomForest,1,recall,0.7994269340974212
conservador,RandomForest,1,f1-score,0.643598615916955
conservador,LogisticRegression,0,precision,0.9124877089478859
conservador,LogisticRegression,0,recall,0.8315412186379928
conservador,LogisticRegression,0,f1-score,0.8701359587435537
conservador,LogisticRegression,1,precision,0.5803571428571429
conservador,LogisticRegression,1,recall,0.7449856733524355
conservador,LogisticRegression,1,f1-score,0.6524466750313677
moderado,RandomForest,0,precision,0.9125
moderado,RandomForest,0,recall,0.850358422939068
moderado,RandomForest,0,f1-score,0.8803339517625232
moderado,RandomForest,1,precision,0.6070588235294118
moderado,RandomForest,1,recall,0.7392550143266475
moderado,RandomForest,1,f1-score,0.6666666666666666
moderado,LogisticRegression,0,precision,0.9125
moderado,LogisticRegression,0,recall,0.850358422939068
moderado,LogisticRegression,0,f1-score,0.8803339517625232
moderado,LogisticRegression,1,precision,0.6070588235294118
moderado,LogisticRegression,1,recall,0.7392550143266475
moderado,LogisticRegression,1,f1-score,0.6666666666666666
arrojado,RandomForest,0,precision,0.7971119133574007
arrojado,RandomForest,0,recall,0.989247311827957
arrojado,RandomForest,0,f1-score,0.8828468612554978
arrojado,RandomForest,1,precision,0.85
arrojado,RandomForest,1,recall,0.19484240687679083
arrojado,RandomForest,1,f1-score,0.317016317016317
arrojado,LogisticRegression,0,precision,0.7971119133574007
arrojado,LogisticRegression,0,recall,0.989247311827957
arrojado,LogisticRegression,0,f1-score,0.8828468612554978
arrojado,LogisticRegression,1,precision,0.85
arrojado,LogisticRegression,1,recall,0.19484240687679083
arrojado,LogisticRegression,1,f1-score,0.317016317016317
