time,lwe_precipitation_smooth_rate_minimum_35km,lwe_precipitation_smooth_rate_minimum_55km,lwe_precipitation_smooth_rate_minimum_20km,lwe_precipitation_smooth_rate_minimum_35km_bin,lwe_precipitation_smooth_rate_minimum_55km_bin,lwe_precipitation_smooth_rate_minimum_20km_bin,parada_recomendada
2024-10-30 03:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 04:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 05:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 06:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 07:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 08:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 09:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 10:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 11:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 12:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 13:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 14:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 15:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 16:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 17:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 18:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 19:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 20:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 21:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 22:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-30 23:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-31 00:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-31 01:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-31 02:00:00,0.0,0.0,0.0,0,0,0,0
2024-10-31 03:00:00,0.0,0.0,0.0,0,0,0,0
