time,lwe_precipitation_smooth_rate_maximum_35km,lwe_precipitation_smooth_rate_maximum_55km,precipitation_probability_55km,lwe_precipitation_smooth_rate_maximum_35km_bin,lwe_precipitation_smooth_rate_maximum_55km_bin,precipitation_probability_55km_bin,parada_recomendada
2024-10-30 03:00:00,1.75,2.1015625,40.828125,1,1,1,1
2024-10-30 04:00:00,1.890625,2.875,30.179688,1,1,1,1
2024-10-30 05:00:00,3.7421875,4.40625,28.40625,1,1,1,1
2024-10-30 06:00:00,5.03125,12.2265625,24.257812,1,1,0,1
2024-10-30 07:00:00,1.1640625,3.90625,28.992188,1,1,1,1
2024-10-30 08:00:00,1.21875,3.5546875,34.320312,1,1,1,1
2024-10-30 09:00:00,1.625,3.8359375,39.648438,1,1,1,1
2024-10-30 10:00:00,1.8984375,2.2890625,36.6875,1,1,1,1
2024-10-30 11:00:00,2.953125,2.953125,43.789062,1,1,1,1
2024-10-30 12:00:00,2.71875,2.71875,52.664062,1,1,1,1
2024-10-30 13:00:00,3.375,3.375,46.742188,1,1,1,1
2024-10-30 14:00:00,3.8203125,4.5,42.601562,1,1,1,1
2024-10-30 15:00:00,4.46875,4.46875,62.132812,1,1,1,1
2024-10-30 16:00:00,3.078125,4.0703125,62.71875,1,1,1,1
2024-10-30 17:00:00,2.71875,3.203125,71.59375,1,1,1,1
2024-10-30 18:00:00,1.5078125,1.9296875,67.453125,1,1,1,1
2024-10-30 19:00:00,3.2734375,3.2734375,66.86719,1,1,1,1
2024-10-30 20:00:00,4.359375,4.359375,66.86719,1,1,1,1
2024-10-30 21:00:00,4.7890625,4.7890625,61.539062,1,1,1,1
2024-10-30 22:00:00,3.953125,3.953125,47.929688,1,1,1,1
2024-10-30 23:00:00,3.7734375,3.7734375,41.421875,1,1,1,1
2024-10-31 00:00:00,1.65625,2.140625,43.789062,1,1,1,1
2024-10-31 01:00:00,2.7890625,2.7890625,39.054688,1,1,1,1
2024-10-31 02:00:00,0.8984375,1.015625,36.09375,1,0,1,1
2024-10-31 03:00:00,1.5234375,1.5234375,30.765625,1,1,1,1
