time,precipitation_probability_55km,precipitation_probability_35km,lwe_precipitation_smooth_rate_maximum_20km,precipitation_probability_55km_bin,precipitation_probability_35km_bin,lwe_precipitation_smooth_rate_maximum_20km_bin,parada_recomendada
2024-10-30 03:00:00,40.828125,43.210938,1.3671875,1,1,1,1
2024-10-30 04:00:00,30.179688,28.398438,0.484375,1,1,1,1
2024-10-30 05:00:00,28.40625,25.929688,0.484375,1,1,1,1
2024-10-30 06:00:00,24.257812,22.21875,0.2578125,0,0,0,0
2024-10-30 07:00:00,28.992188,22.21875,0.1484375,1,0,0,1
2024-10-30 08:00:00,34.320312,29.632812,0.1171875,1,1,0,1
2024-10-30 09:00:00,39.648438,32.101562,0.390625,1,1,0,1
2024-10-30 10:00:00,36.6875,35.804688,0.6640625,1,1,1,1
2024-10-30 11:00:00,43.789062,46.914062,0.75,1,1,1,1
2024-10-30 12:00:00,52.664062,58.023438,2.0703125,1,1,1,1
2024-10-30 13:00:00,46.742188,54.320312,2.0546875,1,1,1,1
2024-10-30 14:00:00,42.601562,48.148438,2.46875,1,1,1,1
2024-10-30 15:00:00,62.132812,67.89844,1.7421875,1,1,1,1
2024-10-30 16:00:00,62.71875,65.42969,1.875,1,1,1,1
2024-10-30 17:00:00,71.59375,87.65625,1.65625,1,1,1,1
2024-10-30 18:00:00,67.453125,77.78125,1.21875,1,1,1,1
2024-10-30 19:00:00,66.86719,81.484375,1.0859375,1,1,1,1
2024-10-30 20:00:00,66.86719,85.1875,2.4453125,1,1,1,1
2024-10-30 21:00:00,61.539062,76.546875,2.0546875,1,1,1,1
2024-10-30 22:00:00,47.929688,60.492188,2.609375,1,1,1,1
2024-10-30 23:00:00,41.421875,56.789062,1.5390625,1,1,1,1
2024-10-31 00:00:00,43.789062,55.554688,1.3984375,1,1,1,1
2024-10-31 01:00:00,39.054688,48.148438,1.0,1,1,1,1
2024-10-31 02:00:00,36.09375,43.210938,0.7890625,1,1,1,1
2024-10-31 03:00:00,30.765625,35.804688,1.5234375,1,1,1,1
