time,precipitation_probability_20km,lwe_precipitation_smooth_rate_maximum_20km,precipitation_probability_20km_bin,lwe_precipitation_smooth_rate_maximum_20km_bin,parada_recomendada
2024-05-14 03:00:00,76.0,4.4296875,1,1,1
2024-05-14 04:00:00,100.0,2.1875,1,1,1
2024-05-14 05:00:00,92.0,2.1796875,1,1,1
2024-05-14 06:00:00,80.0,2.7265625,1,1,1
2024-05-14 07:00:00,100.0,2.15625,1,1,1
2024-05-14 08:00:00,96.0,2.0,1,1,1
2024-05-14 09:00:00,100.0,1.71875,1,1,1
2024-05-14 10:00:00,100.0,1.4375,1,1,1
2024-05-14 11:00:00,100.0,1.53125,1,1,1
2024-05-14 12:00:00,96.0,1.40625,1,1,1
2024-05-14 13:00:00,84.0,1.640625,1,1,1
2024-05-14 14:00:00,80.0,0.765625,1,1,1
2024-05-14 15:00:00,68.0,0.6484375,1,1,1
2024-05-14 16:00:00,92.0,1.1171875,1,1,1
2024-05-14 17:00:00,76.0,0.7890625,1,1,1
2024-05-14 18:00:00,48.0,0.4375,1,1,1
2024-05-14 19:00:00,100.0,0.9921875,1,1,1
2024-05-14 20:00:00,76.0,0.7734375,1,1,1
2024-05-14 21:00:00,64.0,1.578125,1,1,1
2024-05-14 22:00:00,88.0,1.34375,1,1,1
2024-05-14 23:00:00,84.0,0.96875,1,1,1
2024-05-15 00:00:00,40.0,0.8046875,1,1,1
2024-05-15 01:00:00,0.0,0.0,0,0,0
2024-05-15 02:00:00,4.0,0.25,0,0,0
2024-05-15 03:00:00,8.0,0.6171875,0,1,1
