time,precipitation_probability_55km,precipitation_probability_55km_bin,parada_recomendada
2024-05-14 03:00:00,82.84375,1,1
2024-05-14 04:00:00,96.453125,1,1
2024-05-14 05:00:00,92.89844,1,1
2024-05-14 06:00:00,95.265625,1,1
2024-05-14 07:00:00,100.0,1,1
2024-05-14 08:00:00,99.40625,1,1
2024-05-14 09:00:00,100.0,1,1
2024-05-14 10:00:00,100.0,1,1
2024-05-14 11:00:00,100.0,1,1
2024-05-14 12:00:00,99.40625,1,1
2024-05-14 13:00:00,97.63281,1,1
2024-05-14 14:00:00,94.08594,1,1
2024-05-14 15:00:00,75.74219,1,1
2024-05-14 16:00:00,83.42969,1,1
2024-05-14 17:00:00,82.25,1,1
2024-05-14 18:00:00,80.47656,1,1
2024-05-14 19:00:00,84.02344,1,1
2024-05-14 20:00:00,64.5,1,1
2024-05-14 21:00:00,57.984375,1,1
2024-05-14 22:00:00,60.351562,1,1
2024-05-14 23:00:00,62.71875,1,1
2024-05-15 00:00:00,53.257812,1,1
2024-05-15 01:00:00,33.132812,1,1
2024-05-15 02:00:00,23.078125,0,0
2024-05-15 03:00:00,20.117188,0,0
