time,precipitation_probability_35km,lwe_precipitation_smooth_rate_maximum_35km,precipitation_probability_35km_bin,lwe_precipitation_smooth_rate_maximum_35km_bin,parada_recomendada
2024-05-14 03:00:00,82.71875,4.578125,1,1,1
2024-05-14 04:00:00,97.53125,3.453125,1,1,1
2024-05-14 05:00:00,92.59375,5.125,1,1,1
2024-05-14 06:00:00,90.125,4.34375,1,1,1
2024-05-14 07:00:00,100.0,3.84375,1,1,1
2024-05-14 08:00:00,98.765625,3.3828125,1,1,1
2024-05-14 09:00:00,100.0,2.765625,1,1,1
2024-05-14 10:00:00,100.0,3.21875,1,1,1
2024-05-14 11:00:00,100.0,3.6171875,1,1,1
2024-05-14 12:00:00,98.765625,3.6015625,1,1,1
2024-05-14 13:00:00,95.0625,2.1484375,1,1,1
2024-05-14 14:00:00,91.359375,1.953125,1,1,1
2024-05-14 15:00:00,80.25,2.84375,1,1,1
2024-05-14 16:00:00,93.828125,2.375,1,1,1
2024-05-14 17:00:00,82.71875,2.3125,1,1,1
2024-05-14 18:00:00,81.484375,1.2734375,1,1,1
2024-05-14 19:00:00,98.765625,2.5546875,1,1,1
2024-05-14 20:00:00,79.015625,4.0078125,1,1,1
2024-05-14 21:00:00,65.42969,4.3203125,1,1,1
2024-05-14 22:00:00,77.78125,2.15625,1,1,1
2024-05-14 23:00:00,70.36719,1.5703125,1,1,1
2024-05-15 00:00:00,53.085938,2.6484375,1,1,1
2024-05-15 01:00:00,33.335938,1.203125,1,1,1
2024-05-15 02:00:00,25.929688,0.5625,1,1,1
2024-05-15 03:00:00,24.6875,0.8828125,0,1,1
