time,precipitation_probability_35km,lwe_precipitation_smooth_rate_maximum_35km,precipitation_probability_35km_bin,lwe_precipitation_smooth_rate_maximum_35km_bin,parada_recomendada
2024-10-30 03:00:00,43.210938,1.75,1,1,1
2024-10-30 04:00:00,28.398438,1.890625,1,1,1
2024-10-30 05:00:00,25.929688,3.7421875,1,1,1
2024-10-30 06:00:00,22.21875,5.03125,0,1,1
2024-10-30 07:00:00,22.21875,1.1640625,0,1,1
2024-10-30 08:00:00,29.632812,1.21875,1,1,1
2024-10-30 09:00:00,32.101562,1.625,1,1,1
2024-10-30 10:00:00,35.804688,1.8984375,1,1,1
2024-10-30 11:00:00,46.914062,2.953125,1,1,1
2024-10-30 12:00:00,58.023438,2.71875,1,1,1
2024-10-30 13:00:00,54.320312,3.375,1,1,1
2024-10-30 14:00:00,48.148438,3.8203125,1,1,1
2024-10-30 15:00:00,67.89844,4.46875,1,1,1
2024-10-30 16:00:00,65.42969,3.078125,1,1,1
2024-10-30 17:00:00,87.65625,2.71875,1,1,1
2024-10-30 18:00:00,77.78125,1.5078125,1,1,1
2024-10-30 19:00:00,81.484375,3.2734375,1,1,1
2024-10-30 20:00:00,85.1875,4.359375,1,1,1
2024-10-30 21:00:00,76.546875,4.7890625,1,1,1
2024-10-30 22:00:00,60.492188,3.953125,1,1,1
2024-10-30 23:00:00,56.789062,3.7734375,1,1,1
2024-10-31 00:00:00,55.554688,1.65625,1,1,1
2024-10-31 01:00:00,48.148438,2.7890625,1,1,1
2024-10-31 02:00:00,43.210938,0.8984375,1,1,1
2024-10-31 03:00:00,35.804688,1.5234375,1,1,1
