time,precipitation_probability_55km,precipitation_probability_35km,lwe_precipitation_smooth_rate_maximum_20km,precipitation_probability_55km_bin,precipitation_probability_35km_bin,lwe_precipitation_smooth_rate_maximum_20km_bin,parada_recomendada
2024-12-12 03:00:00,26.625,39.507812,0.4921875,1,1,1,1
2024-12-12 04:00:00,18.9375,24.6875,0.1875,0,0,0,0
2024-12-12 05:00:00,12.4296875,17.28125,0.5078125,0,0,1,1
2024-12-12 06:00:00,2.9609375,1.234375,0.0,0,0,0,0
2024-12-12 07:00:00,1.7734375,1.234375,0.0,0,0,0,0
2024-12-12 08:00:00,2.3671875,3.703125,0.0,0,0,0,0
2024-12-12 09:00:00,0.0,0.0,0.0,0,0,0,0
2024-12-12 10:00:00,4.140625,6.171875,0.1484375,0,0,0,0
2024-12-12 11:00:00,8.28125,8.640625,0.171875,0,0,0,0
2024-12-12 12:00:00,8.28125,6.171875,0.3125,0,0,0,0
2024-12-12 13:00:00,11.8359375,12.34375,0.484375,0,0,1,1
2024-12-12 14:00:00,21.304688,28.398438,0.6875,0,1,1,1
2024-12-12 15:00:00,24.257812,29.632812,0.40625,0,1,1,1
2024-12-12 16:00:00,24.851562,27.164062,0.25,0,1,0,0
2024-12-12 17:00:00,18.9375,24.6875,0.0,0,0,0,0
2024-12-12 18:00:00,15.9765625,22.21875,0.3828125,0,0,0,0
2024-12-12 19:00:00,18.34375,20.984375,0.46875,0,0,1,1
2024-12-12 20:00:00,12.4296875,14.8125,0.0,0,0,0,0
2024-12-12 21:00:00,15.3828125,16.046875,0.109375,0,0,0,0
2024-12-12 22:00:00,17.75,14.8125,0.140625,0,0,0,0
2024-12-12 23:00:00,26.625,24.6875,0.25,1,0,0,1
2024-12-13 00:00:00,23.671875,22.21875,0.625,0,0,1,1
2024-12-13 01:00:00,21.304688,13.578125,0.140625,0,0,0,0
2024-12-13 02:00:00,26.039062,23.453125,0.2109375,1,0,0,1
2024-12-13 03:00:00,29.585938,32.101562,0.34375,1,1,0,1
